"Code","SampleID","FieldID","Collector","Bag","T3","T4","GC","logT3","logT4","logGC","Site","Territory","Biol.Season","Year","Month","Day","Condition","Lat","Long","Geno.Sp","Cytb_Sp","Individual","Sex","Breeder","Anthropogenic"
16,"S21_2368","20210713-TC-09","TC",1,53.1,42,163.6,3.97217692824789,3.73766961828337,5.09742442416865,"LEND","Land's End","Dispersal",2021,7,13,"fresh",37.78283,-122.50904,"coyote",NA,"SFCoy12","Female","Yes",0.301723099
17,"S21_2365","20210713-TC-06","TC",1,55.4,45.7,240.5,4.01457959375324,3.82209829790016,5.48272008954582,"STMA","Bernal","Dispersal",2021,7,13,"fresh",37.73339,-122.42054,"coyote",NA,"SFCoy122","Male","",0.018035516
18,"S21_2375","20210714-TC-03","TC",1,46.5,40,104.6,3.83945231259331,3.68887945411394,4.65014355163082,"PRES","Presidio","Dispersal",2021,7,14,"fresh",37.79087,-122.46602,"coyote",NA,"SFCoy102","Female","",0
31,"S20_3756","20200810-TC-02","TC",30,159.4,340.6,64.4,5.07141676635611,5.83070876822859,4.16511363311031,"OLYM","Merced","Dispersal",2020,8,10,"fresh",37.70419,-122.49011,"coyote",NA,"SFCoy4","Male","Yes",0
32,"S20_3776","20200812-TC-06","TC",30,42.4,29.8,32.3,3.74714836223791,3.39450839351136,3.47506723022861,"GGPE","GGP - East","Dispersal",2020,8,12,"fresh",37.77038,-122.47424,"coyote","coyote","SFCoy70","Female","",0
34,"S20_3777","20200812-TC-07","TC",30,29.6,40.2,79.9,3.38777436133001,3.69386699562498,4.38077585277223,"GGPE","GGP - East","Dispersal",2020,8,12,"fresh",37.77023,-122.47397,"coyote","coyote","SFCoy70","Female","",1
36,"S20_3759","20200810-TC-05","TC",30,95.8,87,129.3,4.56226268497681,4.46590811865458,4.86213528577781,"OLYM","Merced","Dispersal",2020,8,10,"fresh",37.70428,-122.48829,"coyote",NA,"SFCoy95","Male","Yes",0.389288569
38,"S20_3758","20200810-TC-04","TC",30,58.2,266.2,133.5,4.06388535473739,5.58424790596101,4.8941014778403,"OLYM","Merced","Dispersal",2020,8,10,"fresh",37.70403,-122.48901,"coyote",NA,"SFCoy95","Male","Yes",0
39,"S20_3755","20200810-TC-01","TC",30,93.6,116.2,121.1,4.53903038348355,4.75531284441781,4.79661665055905,"OLYM","Merced","Dispersal",2020,8,10,"fresh",37.70485,-122.48852,"coyote",NA,"SFCoy20","Male","",0
42,"S20_3829","20200907-TC-04","TC",28,39.3,60.2,80,3.67122451887522,4.09767235231478,4.38202663467388,"PRES","Presidio","Dispersal",2020,9,7,"fresh",37.79217,-122.4508,"coyote","coyote","SFCoy24","Female","Yes",0.058776614
45,"S20_3837","20200907-TC-12","TC",28,78.6,72.2,544.3,4.36437169943516,4.27944004589878,6.29950056544015,"STMA","Bernal","Dispersal",2020,9,7,"fresh",37.73463,-122.4212,"coyote","fail","SFCoy46","Male","",0.158282209
47,"S21_0009","20201111-TC-01","TC",28,197.7,83.5,NA,5.28675073017657,4.42484663185681,NA,"STMA","Bernal","Mating",2020,11,11,"fresh",37.73469,-122.42151,"coyote","coyote","SFCoy14","Male","Yes",1
48,"S21_0010","20201111-TC-02","TC",28,82.9,101.7,635.7,4.41763506214125,4.62202730305451,6.45472675394236,"STMA","Bernal","Mating",2020,11,11,"fresh",37.73458,-122.42119,"coyote","coyote","SFCoy49","Male","",0
54,"S21_0022","20201111-TC-14","TC",28,125.3,293.8,425.1,4.83071086190202,5.68289926373978,6.05232443536474,"GLEN","Glen","Mating",2020,11,11,"fresh",37.74252,-122.44234,"coyote",NA,"SFCoy85","Female","Yes",0.471105528
55,"S21_0027","20201222-TC-02","TC",28,148.2,170.8,134.7,4.99856271286199,5.14049328135447,4.90305008341632,"TGPH","Coit","Mating",2020,12,22,"fresh",37.8028,-122.40641,"coyote",NA,"SFCoy47","Male","",1
57,"S21_0031","20201222-TC-06","TC",28,28.3,35.7,963.8,3.34286180464919,3.57515068878559,6.87088380420623,"BERN","Bernal","Mating",2020,12,22,"fresh",37.7431,-122.4109,"coyote",NA,"SFCoy14","Male","Yes",0
67,"S21_3208","20210717-JK-400","JK",4,69.7,58.1,221.7,4.24420031776648,4.06216566385787,5.40132511662227,"TGPH","Coit","Dispersal",2021,7,17,"fresh",37.802864,-122.406001,"coyote",NA,"SFCoy66","Female","Yes",0.842767296
81,"S20_3693","20200720-TC-05","TC",31,142.6,126,68.4,4.9600435079802,4.83628190695148,4.22537282462851,"MCLA","McLaren","Dispersal",2020,7,20,"fresh",37.71798,-122.42185,"coyote","coyote","SFCoy26","Male","",0.483279089
82,"S20_3694","20200721-TC-01","TC",31,165.5,134.8,42.7,5.10897119481712,4.90379219847821,3.75419892023458,"GGPE","GGP - East","Dispersal",2020,7,21,"fresh",37.7711,-122.46906,"coyote","coyote","SFCoy89","Female","Yes",0.602518654
83,"S20_3695","20200721-TC-02","TC",31,262.5,130.1,140.4,5.57025108203168,4.86830338551846,4.94449549159171,"GGPE","GGP - East","Dispersal",2020,7,21,"fresh",37.77097,-122.46976,"coyote","coyote","SFCoy28","Male","Yes",0.951185592
84,"S20_3703","20200721-TC-10","TC",31,53.5,121.4,34.1,3.97968165390196,4.7990908786254,3.52929738428947,"BVP","Corona","Dispersal",2020,7,21,"fresh",37.76753,-122.44136,"coyote","coyote","SFCoy31","Female","Yes",0.054384411
86,"S20_3705","20200721-TC-12","TC",31,50.8,61.2,123.6,3.92789635458444,4.11414718951828,4.81705054502359,"BVP","Corona","Dispersal",2020,7,21,"fresh",37.76689,-122.44207,"coyote","coyote","SFCoy31","Female","Yes",0.370184849
87,"S20_3706","20200721-TC-13","TC",31,110.7,139.9,40.9,4.70682383971459,4.94092788167144,3.71113006304876,"BVP","Corona","Dispersal",2020,7,21,"fresh",37.76906,-122.44176,"coyote","coyote","SFCoy31","Female","Yes",0.005120702
88,"S20_3707","20200721-TC-14","TC",31,144,163,58,4.969813299576,5.09375020080676,4.06044301054642,"BVP","Corona","Dispersal",2020,7,21,"fresh",37.76951,-122.44192,"coyote","coyote","SFCoy31","Female","Yes",0.418659952
89,"S20_3708","20200721-TC-15","TC",31,17.3,81.9,205.9,2.85070650150373,4.40549899085902,5.32739061403374,"BVP","Corona","Dispersal",2020,7,21,"fresh",37.77035,-122.44048,"coyote","coyote","SFCoy31","Female","Yes",0.243021346
90,"S20_3711","20200722-TC-03","TC",31,199,164.4,93.1,5.29330482472449,5.10230248262208,4.53367418428302,"TGPH","Coit","Dispersal",2020,7,22,"fresh",37.80289,-122.40554,"coyote","coyote","SFCoy109","Male","",0.18867078
91,"S20_3714","20200727-TC-01","TC",31,34.8,88.5,31.9,3.54961738678043,4.48300255201388,3.4626060097908,"OLYM","Merced","Dispersal",2020,7,27,"fresh",37.7046,-122.4886,"coyote","coyote","SFCoy95","Male","Yes",0
92,"S20_3717","20200727-TC-04","TC",31,26,56.3,52.7,3.25809653802148,4.03069453514564,3.96461545554732,"OLYM","Merced","Dispersal",2020,7,27,"fresh",37.70497,-122.49011,"coyote","coyote","SFCoy4","Male","Yes",0.081939163
94,"S20_3722","20200728-TC-03","TC",31,33.7,65.3,21,3.51749783735832,4.17899203628239,3.04452243772342,"LEND","Land's End","Dispersal",2020,7,28,"fresh",37.78406,-122.50578,"coyote","coyote","SFCoy12","Female","Yes",0.007962319
95,"S20_3729","20200729-TC-06","TC",31,579.4,221.1,85.8,6.36199308533525,5.3986150878634,4.45201900649392,"LAGU","Glen","Dispersal",2020,7,29,"fresh",37.74976,-122.45499,"coyote","coyote","SFCoy81","Female","Yes",0.511811024
97,"S20_3735","20200803-TC-06","TC",31,33,86.3,123.9,3.49650756146648,4.45782959808938,4.8194747886351,"SFGC","Merced","Dispersal",2020,8,3,"fresh",37.7101,-122.47407,"coyote","coyote","SFCoy175","Female","",0.103508517
100,"S20_3749","20200805-TC-01","TC",31,98.8,127.1,131.1,4.59309760475382,4.84497417819541,4.87596039076965,"PRES","Presidio","Dispersal",2020,8,5,"fresh",37.79348,-122.45705,"coyote",NA,"SFCoy33","Male","",0
101,"S20_3800","20200819-TC-04","TC",29,64.8,59.8,188.9,4.17130560335823,4.09100566095659,5.24121777450746,"PRES","Presidio","Dispersal",2020,8,19,"fresh",37.79233,-122.45067,"coyote","coyote","SFCoy33","Male","",0.946893424
104,"S20_3802","20200819-TC-06","TC",29,27.7,40.8,229,3.32143241319329,3.70868208141012,5.43372200355424,"PRES","Presidio","Dispersal",2020,8,19,"fresh",37.79216,-122.45056,"coyote","coyote","SFCoy40","Female","",0.484660876
109,"S20_3807","20200824-TC-04","TC",29,61.5,163.1,267.1,4.11903717481247,5.09436350962697,5.58762312011592,"MCLA","McLaren","Dispersal",2020,8,24,"fresh",37.71718,-122.4139,"coyote","coyote","SFCoy10","Female","Yes",0.993136423
110,"S20_3826","20200907-TC-01","TC",29,52.2,139.7,101.9,3.95508249488859,4.93949726626292,4.62399194022868,"GGPW","GGP - West","Dispersal",2020,9,7,"fresh",37.76674,-122.49829,"coyote","coyote","SFCoy52","Male","",0.932762448
115,"S20_3816","20200824-TC-13","TC",29,34.6,131.1,59.3,3.54385368206368,4.87596039076965,4.08260930600368,"STMA","Bernal","Dispersal",2020,8,24,"fresh",37.73398,-122.42019,"coyote","coyote","SFCoy44","Female","Yes",0.743220339
118,"S20_3822","20200824-TC-19","TC",29,6.1,23.9,64.8,1.80828877117927,3.17387845893747,4.17130560335823,"GLEN","Glen","Dispersal",2020,8,24,"fresh",37.74271,-122.44248,"coyote","coyote","SFCoy85","Female","Yes",0.15509457
122,"S21_3355","20210827-JK-494","JK",8,25.8,89.7,11.4,3.25037449192757,4.49647076906475,2.43361335540045,"STMA","Bernal","Dispersal",2021,8,27,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy122","Male","",1
127,"S21_3340","20210823-JK-479","JK",8,133.3,161.7,56.9,4.89260222718466,5.08574276658306,4.04129534113228,"STMA","Bernal","Dispersal",2021,8,23,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy128","Female","",0.928571429
134,"S21_3347","20210826-JK-486","JK",8,78.9,98.6,41.1,4.36818122785183,4.59107126160859,3.71600812150219,"STMA","Bernal","Dispersal",2021,8,26,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy126","Female","",0.656675749
136,"S21_3349","20210826-JK-488","JK",8,223.3,829.1,67,5.40851615884611,6.72034077512217,4.20469261939097,"STMA","Bernal","Dispersal",2021,8,26,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy122","Male","",0.214035088
137,"S21_3350","20210826-JK-489","JK",8,130.3,111.7,79.1,4.8698394841308,4.71581670607516,4.37071287477361,"STMA","Bernal","Dispersal",2021,8,26,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy126","Female","",0.439285714
